      ,      , RMSE ,      ,  MSE ,      ,   R¬≤ ,      , Slope ,      , Intercept ,      , Tau ,    ,
  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  , --- , --- ,
ΔG°, SMIRNOFF99Frosst ,1.07," [0.66, 1.58] ",0.71," [0.22, 1.21] ",0.54," [0.09, 0.86] ",0.55," [0.20, 0.84] ",-0.84," [0.16, -2.09] ",0.44," [0.75, 0.02] ", 
ΔG°, GAFF v1.7 ,1.22," [0.86, 1.67] ",0.93," [0.45, 1.41] ",0.56," [0.12, 0.89] ",0.59," [0.25, 0.89] ",-0.47," [0.64, -1.77] ",0.47," [0.78, 0.05] ", 
ΔG°, GAFF v2.1 ,1.8," [1.48, 2.15] ",-1.64," [-2.04, -1.14] ",0.73," [0.19, 0.98] ",1.01," [0.49, 1.27] ",-1.63," [-0.67, -3.19] ",0.66," [0.89, 0.27] ", 
ΔH, SMIRNOFF99Frosst ,2.88," [1.99, 3.68] ",1.66," [0.21, 3.03] ",0.09," [0.00, 0.44] ",0.07," [-1.28, 1.67] ",-0.29," [3.93, -4.06] ",0.09," [0.56, -0.35] ", 
ΔH, GAFF v1.7 ,3.63," [2.67, 4.47] ",2.66," [1.13, 4.07] ",0.1," [0.00, 0.57] ",0.12," [-1.09, 2.28] ",0.91," [6.66, -2.47] ",0.14," [0.60, -0.31] ", 
ΔH, GAFF v2.1 ,2.08," [1.18, 3.16] ",-1.64," [-2.54, -0.91] ",0.54," [0.00, 0.97] ",1.08," [-0.37, 1.90] ",-1.51," [0.83, -5.50] ",0.46," [0.89, -0.09] ", 
−TΔS°, SMIRNOFF99Frosst ,2.47," [1.62, 3.36] ",-0.96," [-2.22, 0.52] ",0.4," [0.00, 0.93] ",1.18," [-0.45, 2.26] ",-0.88," [0.36, -3.60] ",0.3," [0.71, -0.20] ", 
−TΔS°, GAFF v1.7 ,3," [2.07, 3.88] ",-1.73," [-3.14, -0.18] ",0.37," [0.00, 0.93] ",1.23," [-0.38, 2.48] ",-1.59," [-0.31, -4.23] ",0.29," [0.71, -0.20] ", 
−TΔS°, GAFF v2.1 ,1.8," [0.68, 3.19] ",0," [-0.98, 1.27] ",0.48," [0.00, 0.97] ",1.13," [-0.22, 1.96] ",0.08," [1.14, -1.79] ",0.46," [0.82, -0.02] ", 
