  System , Experimental ,  , SMIRNOFF99Frosst ,  , GAFF v1.7 ,  , GAFF v2.1 ,  
 --- , --- , --- , --- , --- , --- , --- , --- , --- 
   , Mean , SEM , Mean , SEM , Mean , SEM , Mean , SEM 
  a-bam ,-2.17,0.05,-0.43,0.28,-0.84,0.59,-3.05,0.38
  a-but ,-2.53,0.12,-0.76,0.59,-1.08,0.37,-4.91,0.42
  a-cbu ,-2.75,0.05,-2.08,0.21,-0.71,0.49,-4.94,0.29
  a-chp ,-2.99,0.23,-3.42,0.39,-2.33,0.28,-5.27,0.35
  a-coc ,-0.93,0.32,-3.8,0.45,-2.93,0.32,-6.17,0.32
  a-cpe ,-2.74,0.02,-1.93,0.3,-1.06,0.42,-4.86,0.29
  a-ham ,-4.19,0.02,-4.02,0.33,-2.33,0.3,-6.91,0.29
  a-hep ,-4.19,0.09,-4.72,0.33,-4.05,0.36,-8.68,0.24
  a-hex ,-3.4,0.02,-4.33,0.3,-2.95,0.3,-7.43,0.31
  a-hp6 ,-4.48,0.02,-4.86,0.31,-3.73,0.21,-8.24,0.31
  a-hpa ,-4.66,0.02,-4.47,0.36,-2.65,0.3,-7.38,0.26
  a-hx2 ,-4.12,0.06,-4.24,0.31,-2.35,0.32,-6.56,0.3
  a-hx3 ,-3.36,0.05,-2.25,0.55,-2.8,0.32,-5.51,0.28
  a-mba ,-2.68,0.07,-0.95,0.41,-0.32,0.37,-3.11,0.36
  a-mha ,-4.28,0.02,-3.31,0.5,-2.16,0.25,-6.4,0.34
  a-mhp ,-4.74,0.02,-4.89,0.23,-3.41,0.23,-8.12,0.28
  a-nmb ,-2.57,0.06,-1.1,0.28,0.03,0.23,-3.34,0.27
  a-nmh ,-4.2,0.08,-4.2,0.48,-2.54,0.24,-6.74,0.3
  a-oam ,-5.46,0.03,-4.93,0.28,-3.73,0.33,-8.02,0.28
  a-oct ,-4.89,0.03,-6.08,0.21,-4.69,0.29,-9.53,0.3
  a-pam ,-3.28,0.02,-1.72,0.61,-0.84,0.28,-4.45,0.33
  a-pnt ,-2.75,0.01,-2.05,0.37,-1.62,0.33,-5.99,0.3
  b-ben ,-2.51,0.08,-0.45,0.56,-0.76,0.82,-1.3,0.26
  b-cbu ,0.88,0.17,0.05,0.83,-0.19,0.46,0.87,0.29
  b-chp ,-2.96,0.01,0.88,0.4,1.82,0.61,-4.39,0.31
  b-coc ,-3.92,0.06,0.8,0.47,0.45,0.98,-5.57,0.44
  b-cpe ,-1.09,0.01,1.86,0.37,3.62,0.65,-1.32,0.3
  b-ham ,0.6,0.05,1.66,0.68,2.29,0.78,0.42,0.33
  b-hep ,0.42,0.04,-0.05,0.38,1.91,0.29,-0.92,0.27
  b-hex ,1.31,0.04,0.41,0.65,1.3,0.6,-0.21,0.27
  b-m4c ,-2.27,0.01,2.18,0.48,2.62,0.55,-3.13,0.3
  b-m4t ,-2.17,0.02,1.26,0.45,2.49,0.51,-3.11,0.29
  b-mch ,-2.29,0.03,-0.79,1.08,2.27,0.73,-3.37,0.34
  b-mha ,0.47,0.03,0.53,0.55,2.48,0.64,0.28,0.29
  b-mo3 ,-2.93,0.03,-2.66,0.46,-0.59,0.45,-2.5,0.28
  b-mo4 ,-1.96,0.01,-2.69,0.58,-0.91,0.33,-3.05,0.29
  b-mp3 ,-2.75,0.13,-1.09,0.68,0.68,0.48,-2.64,0.31
  b-mp4 ,-2.89,0.05,-2.84,0.76,0.78,0.6,-2.34,0.28
  b-oam ,-0.48,0.03,0.98,0.41,2.66,0.43,-0.52,0.34
  b-pb3 ,-2.25,0.01,-1.59,0.94,1.78,0.36,-2.24,0.3
  b-pb4 ,-2.82,0.01,-0.02,0.62,-1.44,0.78,-3.7,0.29
  b-pha ,-1.79,0.11,-1.1,0.69,-1.34,0.97,-3.45,0.36
  b-pnt ,1.89,0.53,-0.79,1.01,-0.51,0.84,0.4,0.31
